avgWakingRespirationValue,maxStressLevel,avgStressLevel,restingHeartRate,moderateValue,vigorousValue,totalSteps,totalDistance
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
14.0,84.0,30.0,60.0,0.0,0.0,6093.0,5073.0
14.0,99.0,45.0,65.0,1.0,10.0,9716.0,8090.0
14.0,93.0,37.0,62.0,2.0,6.0,10140.0,8685.0
14.0,90.0,38.0,62.0,0.0,0.0,14710.0,12278.0
14.0,100.0,43.0,61.0,6.0,18.0,8656.0,7329.0
14.0,79.0,26.0,65.0,0.0,0.0,3610.0,3021.0
,,-1.0,,0.0,0.0,,
14.0,98.0,43.0,69.0,4.0,5.0,7941.0,6950.0
14.0,81.0,36.0,67.0,0.0,0.0,2849.0,2380.0
14.0,97.0,39.0,64.0,0.0,0.0,3752.0,3144.0
14.0,100.0,45.0,68.0,7.0,17.0,3316.0,2835.0
14.0,95.0,53.0,70.0,0.0,0.0,6852.0,5705.0
14.0,74.0,36.0,66.0,0.0,0.0,1749.0,1456.0
14.0,87.0,44.0,70.0,0.0,0.0,3012.0,2513.0
14.0,99.0,34.0,63.0,0.0,2.0,6619.0,5511.0
13.0,99.0,32.0,62.0,0.0,0.0,5576.0,4683.0
14.0,81.0,28.0,61.0,0.0,0.0,9430.0,7851.0
13.0,77.0,30.0,61.0,0.0,0.0,2789.0,2322.0
,,-1.0,,0.0,0.0,,
13.0,54.0,43.0,68.0,0.0,0.0,1417.0,1180.0
14.0,90.0,39.0,67.0,0.0,0.0,4074.0,3392.0
14.0,94.0,40.0,63.0,1.0,1.0,8192.0,6821.0
16.0,,-1.0,70.0,0.0,0.0,33.0,27.0
13.0,97.0,30.0,61.0,1.0,2.0,8870.0,7394.0
14.0,98.0,31.0,58.0,0.0,0.0,7057.0,5876.0
14.0,89.0,40.0,66.0,7.0,13.0,11409.0,9721.0
14.0,97.0,30.0,61.0,8.0,4.0,10317.0,8674.0
13.0,90.0,30.0,61.0,4.0,9.0,19238.0,16018.0
14.0,96.0,50.0,71.0,0.0,0.0,3111.0,2590.0
14.0,68.0,27.0,63.0,12.0,5.0,8315.0,6923.0
14.0,90.0,33.0,60.0,0.0,3.0,7573.0,6389.0
14.0,90.0,31.0,62.0,0.0,3.0,5314.0,4434.0
14.0,91.0,51.0,67.0,0.0,0.0,2330.0,1940.0
14.0,97.0,38.0,66.0,6.0,5.0,6837.0,5892.0
,,-1.0,,0.0,0.0,,
14.0,78.0,26.0,58.0,1.0,2.0,8678.0,7243.0
14.0,78.0,32.0,61.0,0.0,0.0,8266.0,6882.0
,,-1.0,,0.0,0.0,,
13.0,87.0,31.0,58.0,0.0,0.0,7803.0,6533.0
14.0,95.0,32.0,62.0,0.0,3.0,11333.0,9463.0
15.0,89.0,52.0,68.0,3.0,3.0,16244.0,13551.0
15.0,96.0,43.0,65.0,37.0,1.0,17992.0,15269.0
14.0,97.0,26.0,61.0,6.0,1.0,14154.0,12038.0
15.0,96.0,43.0,62.0,0.0,1.0,7959.0,6627.0
14.0,92.0,34.0,69.0,0.0,0.0,6668.0,5561.0
14.0,90.0,40.0,65.0,0.0,0.0,3219.0,2680.0
14.0,98.0,27.0,62.0,1.0,2.0,7141.0,5960.0
14.0,96.0,44.0,70.0,1.0,2.0,5131.0,4272.0
14.0,81.0,26.0,61.0,0.0,0.0,3687.0,3075.0
14.0,87.0,30.0,61.0,4.0,23.0,19263.0,16132.0
14.0,81.0,28.0,61.0,0.0,0.0,5624.0,4683.0
14.0,99.0,27.0,59.0,7.0,11.0,13649.0,11559.0
14.0,97.0,34.0,59.0,48.0,36.0,13278.0,12388.0
14.0,93.0,29.0,58.0,1.0,3.0,6892.0,5777.0
13.0,96.0,37.0,64.0,3.0,11.0,10494.0,8737.0
14.0,94.0,32.0,57.0,3.0,4.0,9075.0,7570.0
14.0,97.0,31.0,63.0,0.0,0.0,10703.0,8911.0
14.0,90.0,39.0,67.0,0.0,0.0,6244.0,5199.0
14.0,75.0,24.0,57.0,0.0,0.0,6665.0,5549.0
14.0,99.0,36.0,65.0,3.0,6.0,5611.0,4672.0
14.0,90.0,27.0,60.0,1.0,1.0,7016.0,5842.0
14.0,72.0,30.0,65.0,0.0,0.0,1150.0,981.0
14.0,87.0,30.0,61.0,0.0,0.0,2315.0,1927.0
14.0,95.0,26.0,61.0,0.0,0.0,4061.0,3381.0
14.0,80.0,34.0,59.0,0.0,0.0,11144.0,9341.0
15.0,71.0,26.0,62.0,0.0,0.0,7133.0,6009.0
15.0,88.0,39.0,68.0,1.0,4.0,8928.0,7618.0
14.0,83.0,24.0,56.0,0.0,0.0,17579.0,14723.0
15.0,98.0,40.0,65.0,5.0,5.0,4795.0,4016.0
14.0,81.0,25.0,60.0,0.0,0.0,1107.0,982.0
,,-1.0,82.0,0.0,0.0,84.0,70.0
,,,,,,,
